Date,btcPrice
7/27/2017,2592.4
7/26/2017,2525.2
7/25/2017,2563.4
7/24/2017,2762.3
7/23/2017,2754.3
7/22/2017,2825.3
7/21/2017,2665.9
7/20/2017,2849
7/19/2017,2257.9
7/18/2017,2308
7/17/2017,2229.5
7/16/2017,1910.9
7/15/2017,1969.1
7/14/2017,2217
7/13/2017,2337.5
7/12/2017,2386.2
7/11/2017,2310.2
7/10/2017,2333.1
7/9/2017,2509
7/8/2017,2560.1
7/7/2017,2501.3
7/6/2017,2604.4
7/5/2017,2616.5
7/4/2017,2607
7/3/2017,2542.4
7/2/2017,2513.3
7/1/2017,2420.2
6/30/2017,2457.5
6/29/2017,2536.5
6/28/2017,2553
6/27/2017,2569.1
6/26/2017,2411.3
6/25/2017,2500
6/24/2017,2575
6/23/2017,2690.8
6/22/2017,2679.9
6/21/2017,2643.3
6/20/2017,2725.1
6/19/2017,2597
6/18/2017,2512.9
6/17/2017,2643
6/16/2017,2486
6/15/2017,2409.9
6/14/2017,2433.9
6/13/2017,2708.8
6/12/2017,2655
6/11/2017,2999
6/10/2017,2931.1
6/9/2017,2811.4
6/8/2017,2799.7
6/7/2017,2685.6
6/6/2017,2871.3
6/5/2017,2698
6/4/2017,2521.4
6/3/2017,2548.1
6/2/2017,2479
6/1/2017,2420
5/31/2017,2303.3
5/30/2017,2191.6
5/29/2017,2279.5
5/28/2017,2232.8
5/27/2017,2100
5/26/2017,2272.7
5/25/2017,2355
5/24/2017,2433
5/23/2017,2272.8
5/22/2017,2123.3
5/21/2017,2057
5/20/2017,2058.9
5/19/2017,1976.2
5/18/2017,1899.2
5/17/2017,1813.2
5/16/2017,1777.5
5/15/2017,1747.8
5/14/2017,1800
5/13/2017,1792.7
5/12/2017,1695.6
5/11/2017,1837.9
5/10/2017,1795
5/9/2017,1720.4
5/8/2017,1713
5/7/2017,1609.6
5/6/2017,1585.4
5/5/2017,1551.3
5/4/2017,1563.4
5/3/2017,1533
5/2/2017,1472
5/1/2017,1436.5
4/30/2017,1384.6
4/29/2017,1365.4
4/28/2017,1353.3
4/27/2017,1349.3
4/26/2017,1298.4
4/25/2017,1281.2
4/24/2017,1257.3
4/23/2017,1252
4/22/2017,1247
4/21/2017,1250
4/20/2017,1236.2
4/19/2017,1214.2
4/18/2017,1201.9
4/17/2017,1189.9
4/16/2017,1178
4/15/2017,1178.8
4/14/2017,1173.7
4/13/2017,1177.1
4/12/2017,1214.2
4/11/2017,1224
4/10/2017,1210
4/9/2017,1211
4/8/2017,1184.5
4/7/2017,1194
4/6/2017,1192.3
4/5/2017,1133
4/4/2017,1144
4/3/2017,1152.6
4/2/2017,1114
4/1/2017,1092
3/31/2017,1089
3/30/2017,1042.3
3/29/2017,1043.3
3/28/2017,1045.4
3/27/2017,1042.1
3/26/2017,973.1
3/25/2017,963.7
3/24/2017,934.9
3/23/2017,1025.1
3/22/2017,1034.6
3/21/2017,1114.4
3/20/2017,1045
3/19/2017,1019.5
3/18/2017,970
3/17/2017,1069.6
3/16/2017,1175.1
3/15/2017,1263
3/14/2017,1247.4
3/13/2017,1245.5
3/12/2017,1235.6
3/11/2017,1188.1
3/10/2017,1109
3/9/2017,1197.3
3/8/2017,1150.2
3/7/2017,1237.4
3/6/2017,1285
3/5/2017,1279
3/4/2017,1274
3/3/2017,1292.9
3/2/2017,1269.2
3/1/2017,1230
2/28/2017,1195.1
2/27/2017,1195.8
2/26/2017,1184.9
2/25/2017,1158
2/24/2017,1186.9
2/23/2017,1186.9
2/22/2017,1128.7
2/21/2017,1128.3
2/20/2017,1089.8
2/19/2017,1059.9
2/18/2017,1062.2
2/17/2017,1057.3
2/16/2017,1038.9
2/15/2017,1014.5
2/14/2017,1013.9
2/13/2017,1002.8
2/12/2017,1010
2/11/2017,1018.7
2/10/2017,1002
2/9/2017,994.2
2/8/2017,1056.7
2/7/2017,1054
2/6/2017,1022.6
2/5/2017,1016.3
2/4/2017,1035.5
2/3/2017,1018
2/2/2017,1008.4
2/1/2017,992.8
1/31/2017,970
1/30/2017,923.2
1/29/2017,916.5
1/28/2017,925
1/27/2017,922.6
1/26/2017,917
1/25/2017,896
1/24/2017,887
1/23/2017,910.7
1/22/2017,931.2
1/21/2017,925.1
1/20/2017,894.3
1/19/2017,902.9
1/18/2017,888
1/17/2017,906
1/16/2017,834.4
1/15/2017,833.3
1/14/2017,828
1/13/2017,831.4
1/12/2017,812.3
1/11/2017,795.8
1/10/2017,907
1/9/2017,902.7
1/8/2017,923.3
1/7/2017,909
1/6/2017,895.7
1/5/2017,1007
1/4/2017,1130.3
1/3/2017,1020.7
1/2/2017,1011.5
1/1/2017,993
12/31/2016,973.4
12/30/2016,960.8
12/29/2016,970.7
12/28/2016,982.2
12/27/2016,925.2
12/26/2016,902.1
12/25/2016,896.1
12/24/2016,891.5
12/23/2016,917.3
12/22/2016,856
12/21/2016,834.5
12/20/2016,799
12/19/2016,790.8
12/18/2016,790.7
12/17/2016,788.6
12/16/2016,781
12/15/2016,776.2
12/14/2016,777.7
12/13/2016,776.2
12/12/2016,778.9
12/11/2016,771
12/10/2016,775.9
12/9/2016,773.2
12/8/2016,767.9
12/7/2016,764.3
12/6/2016,759.8
12/5/2016,752
12/4/2016,768
12/3/2016,767
12/2/2016,769.3
12/1/2016,754
11/30/2016,742.7
11/29/2016,732.4
11/28/2016,729.8
11/27/2016,729.2
11/26/2016,735.7
11/25/2016,739.7
11/24/2016,738
11/23/2016,741.5
11/22/2016,746.7
11/21/2016,736.4
11/20/2016,732
11/19/2016,750.8
11/18/2016,748.5
11/17/2016,730.7
11/16/2016,739.8
11/15/2016,712.3
11/14/2016,708.3
11/13/2016,704
11/12/2016,704.5
11/11/2016,716.9
11/10/2016,712.9
11/9/2016,721
11/8/2016,711.2
11/7/2016,706.4
11/6/2016,717
11/5/2016,707
11/4/2016,706.3
11/3/2016,690
11/2/2016,744.6
11/1/2016,730.7
10/31/2016,696.9
10/30/2016,697.4
10/29/2016,714.3
10/28/2016,690
10/27/2016,691.2
10/26/2016,674
10/25/2016,654.3
10/24/2016,650
10/23/2016,651
10/22/2016,652.8
10/21/2016,630.8
10/20/2016,628
10/19/2016,629.8
10/18/2016,635.1
10/17/2016,639.6
10/16/2016,641.9
10/15/2016,638.2
10/14/2016,638
10/13/2016,635.7
10/12/2016,635.8
10/11/2016,642.1
10/10/2016,618.7
10/9/2016,617.4
10/8/2016,619.5
10/7/2016,618
10/6/2016,611.9
10/5/2016,613.2
10/4/2016,610.3
10/3/2016,613
10/2/2016,612.4
10/1/2016,615.7
9/30/2016,609
9/29/2016,606
9/28/2016,605
9/27/2016,605.7
9/26/2016,607.1
9/25/2016,601.7
9/24/2016,603.7
9/23/2016,603
9/22/2016,596.2
9/21/2016,597
9/20/2016,605.6
9/19/2016,608.6
9/18/2016,611.4
9/17/2016,607.9
9/16/2016,607.9
